"Type","Name","Timestamp","# requests","# failures","Requests/s","Requests Failed/s","Median response time","Average response time","Min response time","Max response time","Average Content Size","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"None","Aggregated","1586170987",75,0,0.00,0.00,110,148,62,417.48,2686.48,0,0,0,0,0,0,0,0,0,0,0,0
"None","Aggregated","1586170989",462,0,0.00,0.00,110,131,61,417.48,4594.49,110,130,150,170,210,240,310,370,420,420,420,420
"None","Aggregated","1586170991",851,0,111.00,0.00,110,129,53,417.56,4705.07,110,130,150,170,210,240,290,360,420,420,420,420
"None","Aggregated","1586170993",1247,0,144.20,0.00,110,129,53,417.56,4790.82,110,140,150,170,200,240,280,320,420,420,420,420
"None","Aggregated","1586170995",1633,0,159.57,0.00,110,129,53,417.56,4836.91,110,140,150,160,200,230,280,310,420,420,420,420
"None","Aggregated","1586170997",1973,0,168.33,0.00,110,131,53,481.84,4899.57,110,140,150,170,200,240,290,340,440,480,480,480
"None","Aggregated","1586170999",2294,0,186.50,0.00,110,135,53,532.32,4944.64,120,140,160,170,220,270,350,410,520,530,530,530
"None","Aggregated","1586171001",2593,0,185.20,0.00,120,139,53,532.32,4971.30,120,140,170,180,250,320,390,440,520,530,530,530
"None","Aggregated","1586171003",2883,0,177.10,0.00,120,142,53,603.50,5001.22,120,150,180,210,290,350,420,470,580,600,600,600
"None","Aggregated","1586171005",3183,0,167.00,0.00,120,144,53,679.40,5007.34,120,160,200,230,320,380,450,500,650,680,680,680
"None","Aggregated","1586171007",3499,0,155.00,0.00,120,146,53,679.40,5035.16,120,170,210,240,330,390,450,500,650,680,680,680
"None","Aggregated","1586171009",3854,0,151.90,0.00,120,145,53,679.40,5039.20,120,170,200,230,310,370,430,500,650,680,680,680
"None","Aggregated","1586171011",4208,0,154.50,0.00,120,145,53,679.40,5086.00,130,160,190,210,280,340,410,480,650,680,680,680
"None","Aggregated","1586171013",4569,0,158.50,0.00,120,145,53,679.40,5100.82,130,150,180,190,250,300,380,430,650,680,680,680
"None","Aggregated","1586171015",4890,0,164.40,0.00,120,145,53,679.40,5086.42,130,150,180,190,240,280,350,390,550,600,600,600
"None","Aggregated","1586171017",5269,0,172.20,0.00,120,144,53,679.40,5111.06,130,150,170,180,220,260,320,370,570,570,570,570
"None","Aggregated","1586171019",5646,0,174.20,0.00,120,144,53,679.40,5121.43,120,150,170,180,210,250,310,380,570,570,570,570
"None","Aggregated","1586171021",6023,0,177.40,0.00,120,143,53,679.40,5106.64,120,150,170,180,210,250,310,390,570,570,570,570
"None","Aggregated","1586171023",6402,0,180.10,0.00,120,142,53,679.40,5101.41,120,150,170,180,210,250,300,370,570,570,570,570
"None","Aggregated","1586171025",6775,0,182.50,0.00,120,142,53,679.40,5120.77,120,140,160,170,210,240,270,300,400,520,520,520
"None","Aggregated","1586171027",7145,0,184.10,0.00,120,141,53,679.40,5117.47,120,140,160,170,200,230,270,300,520,590,590,590
"None","Aggregated","1586171029",7518,0,187.50,0.00,120,141,53,679.40,5105.30,120,140,160,170,200,240,290,320,590,660,660,660
"None","Aggregated","1586171031",7879,0,186.40,0.00,120,141,53,679.40,5116.62,120,140,160,170,210,240,290,320,590,660,660,660
"None","Aggregated","1586171033",8250,0,184.50,0.00,120,141,53,679.40,5113.52,120,140,160,170,210,240,290,320,590,660,660,660
"None","Aggregated","1586171035",8626,0,185.00,0.00,120,140,53,679.40,5113.22,120,140,160,170,210,240,290,330,590,660,660,660
"None","Aggregated","1586171037",8968,0,184.00,0.00,120,140,53,679.40,5114.32,120,150,170,180,210,240,300,350,490,520,520,520
"None","Aggregated","1586171039",9297,0,183.60,0.00,120,141,53,679.40,5116.78,130,150,170,180,210,250,340,380,520,620,620,620
"None","Aggregated","1586171041",9664,0,176.60,0.00,120,141,53,679.40,5127.72,130,150,170,180,210,250,340,380,520,620,620,620
"None","Aggregated","1586171043",10027,0,177.80,0.00,120,141,53,679.40,5130.04,130,150,170,180,210,250,350,380,520,620,620,620
"None","Aggregated","1586171045",10401,0,175.30,0.00,120,140,53,679.40,5124.94,130,150,170,180,210,250,350,380,520,620,620,620
"None","Aggregated","1586171047",10736,0,176.30,0.00,120,140,53,679.40,5124.56,120,150,160,180,210,250,310,360,520,620,620,620
